,Name,Code,Province
0,Buffalo City Metropolitan Municipality,BUF,Eastern Cape
1,City of Cape Town Metropolitan Municipality,CPT,Western Cape
2,City of Johannesburg Metropolitan Municipality,JHB,Gauteng
3,City of Tshwane Metropolitan Municipality,TSH,Gauteng
4,Ekurhuleni Metropolitan Municipality,EKU,Gauteng
5,eThekwini Metropolitan Municipality,ETH,KwaZulu-Natal
6,Mangaung Metropolitan Municipality,MAN,Free State
7,Nelson Mandela Bay Metropolitan Municipality,NMA,Eastern Cape
8,Alfred Nzo District Municipality,DC44,Eastern Cape
9,Amajuba District Municipality,DC25,KwaZulu-Natal
10,Amathole District Municipality,DC12,Eastern Cape
11,Bojanala District Municipality,DC37,North West
12,Cape Winelands District Municipality,DC2,Western Cape
13,Capricorn District Municipality,DC35,Limpopo
14,Central Karoo District Municipality,DC5,Western Cape
15,Chris Hani District Municipality,DC13,Eastern Cape
16,Dr Kenneth Kaunda District Municipality,DC40,North West
17,Dr Ruth Segomotsi Mompati District Municipality,DC39,North West
18,Eden District Municipality,DC4,Western Cape
19,Ehlanzeni District Municipality,DC32,Mpumalanga
20,Fezile Dabi District Municipality,DC20,Free State
21,Frances Baard District Municipality,DC9,Northern Cape
22,Gert Sibande District Municipality,DC30,Mpumalanga
23,Harry Gwala District Municipality,DC43,KwaZulu-Natal
24,iLembe District Municipality,DC29,KwaZulu-Natal
25,Joe Gqabi District Municipality,DC14,Eastern Cape
26,John Taolo Gaetsewe District Municipality,DC45,Northern Cape
27,King Cetshwayo District Municipality,DC28,KwaZulu-Natal
28,Lejweleputswa District Municipality,DC18,Free State
29,Mopani District Municipality,DC33,Limpopo
30,Namakwa District Municipality,DC6,Northern Cape
31,Ngaka Modiri Molema District Municipality,DC38,North West
32,Nkangala District Municipality,DC31,Mpumalanga
33,OR Tambo District Municipality,DC15,Eastern Cape
34,Overberg District Municipality,DC3,Western Cape
35,Pixley ka Seme District Municipality,DC7,Northern Cape
36,Sarah Baartman District Municipality,DC10,Eastern Cape
37,Sedibeng District Municipality,DC42,Gauteng
38,Sekhukhune District Municipality,DC47,Limpopo
39,Thabo Mofutsanyana District Municipality,DC19,Free State
40,Ugu District Municipality,DC21,KwaZulu-Natal
41,uMgungundlovu District Municipality,DC22,KwaZulu-Natal
42,uMkhanyakude District Municipality,DC27,KwaZulu-Natal
43,uMzinyathi District Municipality,DC24,KwaZulu-Natal
44,uThukela District Municipality,DC23,KwaZulu-Natal
45,Vhembe District Municipality,DC34,Limpopo
46,Waterberg District Municipality,DC36,Limpopo
47,West Coast District Municipality,DC1,Western Cape
48,West Rand District Municipality,DC48,Gauteng
49,Xhariep District Municipality,DC16,Free State
50,ZF Mgcawu District Municipality,DC8,Northern Cape
51,Zululand District Municipality,DC26,KwaZulu-Natal
52,Abaqulusi Local Municipality,KZN263,KwaZulu-Natal
53,Albert Luthuli Local Municipality,MP301,Mpumalanga
54,Alfred Duma Local Municipality,KZN238,KwaZulu-Natal
55,Amahlathi Local Municipality,EC124,Eastern Cape
56,Ba-Phalaborwa Local Municipality,LIM334,Limpopo
57,Beaufort West Local Municipality,WC053,Western Cape
58,Bela-Bela Local Municipality,LIM366,Limpopo
59,Bergrivier Local Municipality,WC013,Western Cape
60,Big Five Hlabisa Local Municipality,KZN276,KwaZulu-Natal
61,Bitou Local Municipality,WC047,Western Cape
62,Blouberg Local Municipality,LIM351,Limpopo
63,Blue Crane Route Local Municipality,EC102,Eastern Cape
64,Breede Valley Local Municipality,WC025,Western Cape
65,Bushbuckridge Local Municipality,MP325,Mpumalanga
66,Cape Agulhas Local Municipality,WC033,Western Cape
67,Cederberg Local Municipality,WC012,Western Cape
68,City of Matlosana Local Municipality,NW403,North West
69,Collins Chabane Local Municipality,LIM345,Limpopo
70,Dannhauser Local Municipality,KZN254,KwaZulu-Natal
71,Dawid Kruiper Local Municipality,NC087,Northern Cape
72,Dihlabeng Local Municipality,FS192,Free State
73,Dikgatlong Local Municipality,NC092,Northern Cape
74,Dipaleseng Local Municipality,MP306,Mpumalanga
75,Ditsobotla Local Municipality,NW384,North West
76,Dr Beyers Naud̩ Local Municipality,EC101,Eastern Cape
77,Dr JS Moroka Local Municipality,MP316,Mpumalanga
78,Dr Nkosazana Dlamini Zuma Local Municipality,KZN436,KwaZulu-Natal
79,Drakenstein Local Municipality,WC023,Western Cape
80,eDumbe Local Municipality,KZN261,KwaZulu-Natal
81,Elias Motsoaledi Local Municipality,LIM472,Limpopo
82,Elundini Local Municipality,EC141,Eastern Cape
83,eMadlangeni Local Municipality,KZN253,KwaZulu-Natal
84,Emakhazeni Local Municipality,MP314,Mpumalanga
85,Emalahleni Local Municipality,EC136,Eastern Cape
86,Emalahleni Local Municipality,MP312,Mpumalanga
87,Emfuleni Local Municipality,GT421,Gauteng
88,Emthanjeni Local Municipality,NC073,Northern Cape
89,Endumeni Local Municipality,KZN241,KwaZulu-Natal
90,Engcobo Local Municipality,EC137,Eastern Cape
91,Enoch Mgijima Local Municipality,EC139,Eastern Cape
92,Ephraim Mogale Local Municipality,LIM471,Limpopo
93,Fetakgomo/Greater Tubatse Local Municipality,LIM476,Limpopo
94,Ga-Segonyana Local Municipality,NC452,Northern Cape
95,Gamagara Local Municipality,NC453,Northern Cape
96,George Local Municipality,WC044,Western Cape
97,Govan Mbeki Local Municipality,MP307,Mpumalanga
98,Great Kei Local Municipality,EC123,Eastern Cape
99,Greater Giyani Local Municipality,LIM331,Limpopo
100,Greater Kokstad Local Municipality,KZN433,KwaZulu-Natal
101,Greater Letaba Local Municipality,LIM332,Limpopo
102,Greater Taung Local Municipality,NW394,North West
103,Greater Tzaneen Local Municipality,LIM333,Limpopo
104,Hantam Local Municipality,NC065,Northern Cape
105,Hessequa Local Municipality,WC042,Western Cape
106,Impendle Local Municipality,KZN224,KwaZulu-Natal
107,Ingquza Hill Local Municipality,EC153,Eastern Cape
108,Inkosi Langalibalele Local Municipality,KZN237,KwaZulu-Natal
109,Intsika Yethu Local Municipality,EC135,Eastern Cape
110,Inxuba Yethemba Local Municipality,EC131,Eastern Cape
111,JB Marks Local Municipality,NW405,North West
112,Joe Morolong Local Municipality,NC451,Northern Cape
113,Jozini Local Municipality,KZN272,KwaZulu-Natal
114,Kagisano-Molopo Local Municipality,NW397,North West
115,Kai Garib Local Municipality,NC082,Northern Cape
116,Kamiesberg Local Municipality,NC064,Northern Cape
117,Kannaland Local Municipality,WC041,Western Cape
118,Kareeberg Local Municipality,NC074,Northern Cape
119,Karoo Hoogland Local Municipality,NC066,Northern Cape
120,Kgatelopele Local Municipality,NC086,Northern Cape
121,Kgetlengrivier Local Municipality,NW374,North West
122,Kh̢i-Ma Local Municipality,NC067,Northern Cape
123,!Kheis Local Municipality,NC084,Northern Cape
124,King Sabata Dalindyebo Local Municipality,EC157,Eastern Cape
125,Knysna Local Municipality,WC048,Western Cape
126,Kopanong Local Municipality,FS162,Free State
127,Kou-Kamma Local Municipality,EC109,Eastern Cape
128,Kouga Local Municipality,EC108,Eastern Cape
129,KwaDukuza Local Municipality,KZN292,KwaZulu-Natal
130,Laingsburg Local Municipality,WC051,Western Cape
131,Langeberg Local Municipality,WC026,Western Cape
132,Lekwa Local Municipality,MP305,Mpumalanga
133,Lekwa-Teemane Local Municipality,NW396,North West
134,Lepelle-Nkumpi Local Municipality,LIM355,Limpopo
135,Lephalale Local Municipality,LIM362,Limpopo
136,Lesedi Local Municipality,GT423,Gauteng
137,Letsemeng Local Municipality,FS161,Free State
138,Madibeng Local Municipality,NW372,North West
139,Mafube Local Municipality,FS205,Free State
140,Magareng Local Municipality,NC093,Northern Cape
141,Mahikeng Local Municipality,NW383,North West
142,Makana Local Municipality,EC104,Eastern Cape
143,Makhado Local Municipality,LIM344,Limpopo
144,Makhuduthamaga Local Municipality,LIM473,Limpopo
145,Maluti-a-Phofung Local Municipality,FS194,Free State
146,Mamusa Local Municipality,NW393,North West
147,Mandeni Local Municipality,KZN291,KwaZulu-Natal
148,Mantsopa Local Municipality,FS196,Free State
149,Maphumulo Local Municipality,KZN294,KwaZulu-Natal
150,Maquassi Hills Local Municipality,NW404,North West
151,Maruleng Local Municipality,LIM335,Limpopo
152,Masilonyana Local Municipality,FS181,Free State
153,Matatiele Local Municipality,EC441,Eastern Cape
154,Matjhabeng Local Municipality,FS184,Free State
155,Matzikama Local Municipality,WC011,Western Cape
156,Mbhashe Local Municipality,EC121,Eastern Cape
157,Mbizana Local Municipality,EC443,Eastern Cape
158,Mbombela Local Municipality,MP326,Mpumalanga
159,Merafong City Local Municipality,GT484,Gauteng
160,Metsimaholo Local Municipality,FS204,Free State
161,Mhlontlo Local Municipality,EC156,Eastern Cape
162,Midvaal Local Municipality,GT422,Gauteng
163,Mkhambathini Local Municipality,KZN226,KwaZulu-Natal
164,Mkhondo Local Municipality,MP303,Mpumalanga
165,Mnquma Local Municipality,EC122,Eastern Cape
166,Modimolle/Mookgophong Local Municipality,LIM368,Limpopo
167,Mogalakwena Local Municipality,LIM367,Limpopo
168,Mogale City Local Municipality,GT481,Gauteng
169,Mohokare Local Municipality,FS163,Free State
170,Molemole Local Municipality,LIM353,Limpopo
171,Moqhaka Local Municipality,FS201,Free State
172,Moretele Local Municipality,NW371,North West
173,Moses Kotane Local Municipality,NW375,North West
174,Mossel Bay Local Municipality,WC043,Western Cape
175,Mpofana Local Municipality,KZN223,KwaZulu-Natal
176,Msinga Local Municipality,KZN244,KwaZulu-Natal
177,Msukaligwa Local Municipality,MP302,Mpumalanga
178,Msunduzi Local Municipality,KZN225,KwaZulu-Natal
179,Mthonjaneni Local Municipality,KZN285,KwaZulu-Natal
180,Mtubatuba Local Municipality,KZN275,KwaZulu-Natal
181,Musina Local Municipality,LIM341,Limpopo
182,Nala Local Municipality,FS185,Free State
183,Naledi Local Municipality,NW392,North West
184,Nama Khoi Local Municipality,NC062,Northern Cape
185,Ndlambe Local Municipality,EC105,Eastern Cape
186,Ndwedwe Local Municipality,KZN293,KwaZulu-Natal
187,Newcastle Local Municipality,KZN252,KwaZulu-Natal
188,Ngqushwa Local Municipality,EC126,Eastern Cape
189,Ngwathe Local Municipality,FS203,Free State
190,Nkandla Local Municipality,KZN286,KwaZulu-Natal
191,Nketoana Local Municipality,FS193,Free State
192,Nkomazi Local Municipality,MP324,Mpumalanga
193,Nongoma Local Municipality,KZN265,KwaZulu-Natal
194,Nqutu Local Municipality,KZN242,KwaZulu-Natal
195,Ntabankulu Local Municipality,EC444,Eastern Cape
196,Nyandeni Local Municipality,EC155,Eastern Cape
197,Okhahlamba Local Municipality,KZN235,KwaZulu-Natal
198,Oudtshoorn Local Municipality,WC045,Western Cape
199,Overstrand Local Municipality,WC032,Western Cape
200,Phokwane Local Municipality,NC094,Northern Cape
201,Phumelela Local Municipality,FS195,Free State
202,Pixley ka Seme Local Municipality,MP304,Mpumalanga
203,Polokwane Local Municipality,LIM354,Limpopo
204,Port St Johns Local Municipality,EC154,Eastern Cape
205,Prince Albert Local Municipality,WC052,Western Cape
206,Ramotshere Moiloa Local Municipality,NW385,North West
207,Rand West City Local Municipality,GT485,Gauteng
208,Ratlou Local Municipality,NW381,North West
209,Ray Nkonyeni Local Municipality,KZN216,KwaZulu-Natal
210,Raymond Mhlaba Local Municipality,EC129,Eastern Cape
211,Renosterberg Local Municipality,NC075,Northern Cape
212,Richmond Local Municipality,KZN227,KwaZulu-Natal
213,Richtersveld Local Municipality,NC061,Northern Cape
214,Rustenburg Local Municipality,NW373,North West
215,Sakhisizwe Local Municipality,EC138,Eastern Cape
216,Saldanha Bay Local Municipality,WC014,Western Cape
217,Senqu Local Municipality,EC142,Eastern Cape
218,Setsoto Local Municipality,FS191,Free State
219,Siyancuma Local Municipality,NC078,Northern Cape
220,Siyathemba Local Municipality,NC077,Northern Cape
221,Sol Plaatje Local Municipality,NC091,Northern Cape
222,Stellenbosch Local Municipality,WC024,Western Cape
223,Steve Tshwete Local Municipality,MP313,Mpumalanga
224,Sundays River Valley Local Municipality,EC106,Eastern Cape
225,Swartland Local Municipality,WC015,Western Cape
226,Swellendam Local Municipality,WC034,Western Cape
227,Thaba Chweu Local Municipality,MP321,Mpumalanga
228,Thabazimbi Local Municipality,LIM361,Limpopo
229,Theewaterskloof Local Municipality,WC031,Western Cape
230,Thembelihle Local Municipality,NC076,Northern Cape
231,Thembisile Hani Local Municipality,MP315,Mpumalanga
232,Thulamela Local Municipality,LIM343,Limpopo
233,Tokologo Local Municipality,FS182,Free State
234,Tsantsabane Local Municipality,NC085,Northern Cape
235,Tswaing Local Municipality,NW382,North West
236,Tswelopele Local Municipality,FS183,Free State
237,Ubuhlebezwe Local Municipality,KZN434,KwaZulu-Natal
238,Ubuntu Local Municipality,NC071,Northern Cape
239,Ulundi Local Municipality,KZN266,KwaZulu-Natal
240,Umdoni Local Municipality,KZN212,KwaZulu-Natal
241,uMfolozi Local Municipality,KZN281,KwaZulu-Natal
242,uMhlabuyalingana Local Municipality,KZN271,KwaZulu-Natal
243,uMhlathuze Local Municipality,KZN282,KwaZulu-Natal
244,uMlalazi Local Municipality,KZN284,KwaZulu-Natal
245,uMngeni Local Municipality,KZN222,KwaZulu-Natal
246,uMshwathi Local Municipality,KZN221,KwaZulu-Natal
247,Umsobomvu Local Municipality,NC072,Northern Cape
248,uMuziwabantu Local Municipality,KZN214,KwaZulu-Natal
249,Umvoti Local Municipality,KZN245,KwaZulu-Natal
250,Umzimkhulu Local Municipality,KZN435,KwaZulu-Natal
251,Umzimvubu Local Municipality,EC442,Eastern Cape
252,Umzumbe Local Municipality,KZN213,KwaZulu-Natal
253,uPhongolo Local Municipality,KZN262,KwaZulu-Natal
254,Victor Khanye Local Municipality,MP311,Mpumalanga
255,Walter Sisulu Local Municipality,EC145,Eastern Cape
256,Witzenberg Local Municipality,WC022,Western Cape
257,Camdeboo Local Municipality,EC101,Eastern Cape
258,Ikwezi Local Municipality,EC103,Eastern Cape
259,Baviaans Local Municipality,EC107,Eastern Cape
260,Nkonkobe Local Municipality,EC127,Eastern Cape
261,Nxuba Local Municipality,EC128,Eastern Cape
262,Tsolwana Local Municipality,EC132,Eastern Cape
263,Inkwanca Local Municipality,EC133,Eastern Cape
264,Lukhanji Local Municipality,EC134,Eastern Cape
265,Maletswai Local Municipality,EC143,Eastern Cape
266,Gariep Local Municipality,EC144,Eastern Cape
267,Motheo District Municipality,DC17,Free State
268,Naledi Local Municipality,FS164,Free State
269,Metsweding District Municipality,DC46,Gauteng
270,Nokeng tsa Taemane Local Municipality,GT461,Gauteng
271,Kungwini Local Municipality,GT462,Gauteng
272,Randfontein Local Municipality,GT482,Gauteng
273,Westonaria Local Municipality,GT483,Gauteng
274,Ezinqoleni Local Municipality,KZN215,KwaZulu-Natal
275,Hibiscus Coast Local Municipality,KZN216,KwaZulu-Natal
276,Vulamehlo Local Municipality,KZN211,KwaZulu-Natal
277,Emnambithi/Ladysmith Local Municipality,KZN232,KwaZulu-Natal
278,Indaka Local Municipality,KZN233,KwaZulu-Natal
279,Umtshezi Local Municipality,KZN234,KwaZulu-Natal
280,Imbabazane Local Municipality,KZN236,KwaZulu-Natal
281,Big 5 False Bay Local Municipality,KZN273,KwaZulu-Natal
282,Hlabisa Local Municipality,KZN274,KwaZulu-Natal
283,Ntambanana Local Municipality,KZN283,KwaZulu-Natal
284,Ingwe Local Municipality,KZN431,KwaZulu-Natal
285,Kwa Sani Local Municipality,KZN432,KwaZulu-Natal
286,Bohlabela District Municipality,CBDC4,Mpumalanga/Limpopo
287,Mutale Local Municipality,LIM342,Limpopo
288,Aganang Local Municipality,LIM352,Limpopo
289,Mookgopong Local Municipality,LIM364,Limpopo
290,Modimolle Local Municipality,LIM365,Limpopo
291,Fetakgomo Local Municipality,LIM474,Limpopo
292,Greater Tubatse Local Municipality,LIM475,Limpopo
293,Umjindi Local Municipality,MP323,Mpumalanga
294,Kagisano Local Municipality,NW391,North West
295,Molopo Local Municipality,NW395,North West
296,Ventersdorp Local Municipality,NW401,North West
297,Tlokwe Local Municipality,NW402,North West
298,Mier Local Municipality,NC081,Northern Cape
299,Khara Hais Local Municipality,NC083,Northern Cape
